            Block,1023,1024,1025,2046,2048,2050
            16,0.821436,0.883528,0.804246,6.487840,9.409870,6.795820
            32,0.677631,0.693663,0.673618,5.348190,6.329540,5.687700
            64,0.628888,0.627859,0.621317,4.750010,7.120780,5.042640
            128,0.630129,0.621725,0.648724,4.820080,5.506070,5.096350
            256,0.576028,0.562800,0.598520,4.515920,5.147080,4.772660
            512,0.556613,0.598684,0.583687,4.173970,5.780910,4.619370
            1024,0.728713,0.725217,0.739598,6.126790,9.244030,6.553810
            2048,0.734240,0.711722,0.741214,6.040050,6.967800,6.273280
            
